Optimizador;Error promedio MSE (50000 epochs)
descgradient;1.3199558542267744
descgradient;1.3199552974097195
descgradient;1.319954740593519
descgradient;1.319954183778221
descgradient;1.319953626963897
descgradient;1.3199530701504654
descgradient;1.3199525133380001
descgradient;1.3199519565264628
descgradient;1.3199513997158179
descgradient;1.3199508429060525
descgradient;1.3199502860970997
descgradient;1.3199497292889693
descgradient;1.3199491724818297
descgradient;1.319948615675621
descgradient;1.3199480588701722
descgradient;1.3199475020656732
descgradient;1.3199469452621508
descgradient;1.3199463884595628
descgradient;1.319945831657877
descgradient;1.3199452748570943
descgradient;1.3199447180572854
descgradient;1.3199441612582852
descgradient;1.3199436044602368
descgradient;1.3199430476631213
descgradient;1.3199424908668116
descgradient;1.3199419340713396
descgradient;1.3199413772768516
descgradient;1.3199408204832348
descgradient;1.3199402636904694
descgradient;1.319939706898694
descgradient;1.3199391501076485
descgradient;1.3199385933174952
descgradient;1.3199380365282538
descgradient;1.3199374797398522
descgradient;1.3199369229523716
descgradient;1.3199363661657701
descgradient;1.3199358093801963
descgradient;1.3199352525955568
descgradient;1.3199346958119393
descgradient;1.3199341390291004
descgradient;1.3199335822470766
descgradient;1.3199330254660597
descgradient;1.3199324686858622
descgradient;1.3199319119065334
descgradient;1.3199313551281207
descgradient;1.3199307983505357
descgradient;1.3199302415738714
descgradient;1.3199296847981603
descgradient;1.3199291280233658
descgradient;1.3199285712495206
descgradient;1.3199280144765646
descgradient;1.3199274577044067
descgradient;1.3199269009331431
descgradient;1.3199263441628584
descgradient;1.3199257873934656
descgradient;1.3199252306250235
descgradient;1.3199246738573678
descgradient;1.3199241170904294
descgradient;1.3199235603245583
descgradient;1.3199230035596616
descgradient;1.319922446795617
descgradient;1.3199218900323568
descgradient;1.3199213332700732
descgradient;1.3199207765087753
descgradient;1.3199202197484103
descgradient;1.3199196629888812
descgradient;1.3199191062301823
descgradient;1.319918549472352
descgradient;1.3199179927154685
descgradient;1.3199174359595507
descgradient;1.3199168792044833
descgradient;1.319916322450291
descgradient;1.3199157656971272
descgradient;1.3199152089449866
descgradient;1.3199146521934342
descgradient;1.3199140954427995
descgradient;1.319913538693103
descgradient;1.319912981944424
descgradient;1.3199124251965733
descgradient;1.3199118684494193
descgradient;1.3199113117032566
descgradient;1.3199107549581317
descgradient;1.3199101982139425
descgradient;1.3199096414705345
descgradient;1.319909084727932
descgradient;1.3199085279861538
descgradient;1.319907971245364
descgradient;1.3199074145054572
descgradient;1.3199068577665498
descgradient;1.319906301028585
descgradient;1.319905744291611
descgradient;1.3199051875554608
descgradient;1.3199046308202267
descgradient;1.3199040740859078
descgradient;1.3199035173525049
descgradient;1.3199029606198
descgradient;1.3199024038879756
descgradient;1.319901847157117
descgradient;1.3199012904272696
descgradient;1.3199007336981734
descgradient;1.3199001769700438
descgradient;1.31989962024289
descgradient;1.3198990635165213
descgradient;1.3198985067910447
descgradient;1.3198979500664931
descgradient;1.3198973933429408
descgradient;1.3198968366203114
descgradient;1.3198962798985174
descgradient;1.3198957231775799
descgradient;1.3198951664576244
descgradient;1.3198946097385575
descgradient;1.3198940530201724
descgradient;1.3198934963026214
descgradient;1.3198929395861718
descgradient;1.3198923828705742
descgradient;1.3198918261557988
descgradient;1.3198912694419476
descgradient;1.3198907127291066
descgradient;1.3198901560171334
descgradient;1.3198895993060045
descgradient;1.3198890425958623
descgradient;1.3198884858865656
descgradient;1.3198879291782093
descgradient;1.3198873724708655
descgradient;1.3198868157643047
descgradient;1.319886259058739
descgradient;1.3198857023540622
descgradient;1.3198851456501797
descgradient;1.3198845889471977
descgradient;1.319884032245098
descgradient;1.3198834755439135
descgradient;1.3198829188435943
descgradient;1.3198823621440816
descgradient;1.3198818054455068
descgradient;1.319881248748
descgradient;1.3198806920514126
descgradient;1.3198801353555922
descgradient;1.319879578660627
descgradient;1.3198790219666
descgradient;1.3198784652736169
descgradient;1.319877908581551
descgradient;1.3198773518903144
descgradient;1.3198767951999726
descgradient;1.319876238510503
