0.1234,0.4586,-0.1067,0.2965
0.1260,0.4556,-0.1067,0.2914
0.1268,0.4556,-0.1077,0.2898
0.0678,0.4481,-0.1077,0.2823
0.0626,0.4129,-0.1338,0.2693
0.0469,0.3990,-0.1451,0.2606
0.0514,0.3990,-0.1150,0.2717
0.0708,0.3508,-0.1150,0.2568
0.0821,0.3433,-0.1150,0.2662
0.0978,0.3275,-0.1150,0.2583
0.0978,0.1118,-0.1423,0.2310
0.0956,0.0963,-0.1423,0.2253
0.0779,0.0963,-0.0985,0.2388
0.0556,0.0963,-0.0762,0.2500
0.0511,0.0963,-0.0732,0.2462
0.0525,0.0947,-0.0732,0.2434
0.0533,0.0947,-0.0742,0.2417
0.0725,0.0971,-0.0742,0.2441
0.0709,0.0866,-0.0819,0.2402
0.0637,0.0802,-0.0871,0.2362
0.0676,0.0802,-0.0608,0.2460
0.0730,0.0668,-0.0608,0.2418
0.0817,0.0610,-0.0608,0.2490
0.0859,0.0568,-0.0608,0.2470
0.0859,0.0067,-0.0672,0.2406
0.0847,-0.0013,-0.0672,0.2377
0.0706,-0.0013,-0.0320,0.2486
0.0514,-0.0013,-0.0129,0.2581
0.0475,-0.0013,-0.0102,0.2548
0.0486,-0.0026,-0.0102,0.2525
0.0497,-0.0026,-0.0116,0.2503
0.0781,0.0010,-0.0116,0.2539
0.0771,-0.0062,-0.0169,0.2513
0.0706,-0.0119,-0.0215,0.2477
0.0737,-0.0119,-0.0004,0.2555
0.0753,-0.0158,-0.0004,0.2543
0.0830,-0.0210,-0.0004,0.2607
0.0841,-0.0220,-0.0004,0.2602
0.0841,-0.0288,-0.0013,0.2593
0.0832,-0.0346,-0.0013,0.2572
0.0721,-0.0346,0.0264,0.2657
0.0556,-0.0346,0.0429,0.2740
0.0519,-0.0346,0.0453,0.2709
0.0530,-0.0360,0.0453,0.2687
0.0544,-0.0360,0.0437,0.2660
0.0813,-0.0326,0.0437,0.2694
0.0801,-0.0407,0.0377,0.2664
0.0730,-0.0470,0.0326,0.2624
0.0754,-0.0470,0.0493,0.2686
0.0757,-0.0476,0.0493,0.2685
0.0829,-0.0524,0.0493,0.2745
0.0830,-0.0525,0.0493,0.2744
0.0830,-0.0453,0.0502,0.2754
0.0823,-0.0503,0.0502,0.2735
0.0735,-0.0503,0.0719,0.2802
0.0591,-0.0503,0.0864,0.2874
0.0556,-0.0503,0.0887,0.2845
0.0567,-0.0517,0.0887,0.2823
0.0583,-0.0517,0.0868,0.2792
0.0829,-0.0486,0.0868,0.2823
0.0815,-0.0582,0.0797,0.2788
0.0737,-0.0652,0.0740,0.2744
0.0756,-0.0652,0.0874,0.2794
0.0753,-0.0643,0.0874,0.2797
0.0822,-0.0689,0.0874,0.2854
0.0819,-0.0686,0.0874,0.2856
0.0819,-0.0552,0.0891,0.2873
0.0812,-0.0599,0.0891,0.2856
0.0743,-0.0599,0.1063,0.2909
0.0614,-0.0599,0.1192,0.2974
0.0581,-0.0599,0.1214,0.2946
0.0592,-0.0612,0.1214,0.2923
0.0609,-0.0612,0.1194,0.2889
0.0839,-0.0583,0.1194,0.2919
0.0823,-0.0693,0.1112,0.2878
0.0738,-0.0768,0.1051,0.2831
0.0754,-0.0768,0.1160,0.2871
0.0747,-0.0749,0.1160,0.2877
0.0814,-0.0794,0.1160,0.2934
0.0808,-0.0788,0.1160,0.2936
0.0808,-0.0620,0.1182,0.2958
0.0802,-0.0663,0.1182,0.2942
0.0746,-0.0663,0.1320,0.2984
0.0629,-0.0663,0.1437,0.3043
0.0597,-0.0663,0.1459,0.3017
0.0609,-0.0677,0.1459,0.2993
0.0627,-0.0677,0.1437,0.2958
0.0845,-0.0650,0.1437,0.2985
0.0828,-0.0770,0.1348,0.2941
0.0738,-0.0849,0.1284,0.2892
0.0752,-0.0849,0.1374,0.2925
0.0742,-0.0823,0.1374,0.2933
0.0808,-0.0867,0.1374,0.2988
0.0801,-0.0860,0.1374,0.2992
0.0801,-0.0668,0.1399,0.3016
0.0794,-0.0710,0.1399,0.3001
0.0749,-0.0710,0.1512,0.3036
0.0640,-0.0710,0.1621,0.3090
0.0609,-0.0710,0.1641,0.3065
0.0621,-0.0724,0.1641,0.3041
0.0639,-0.0724,0.1619,0.3004
0.0850,-0.0697,0.1619,0.3031
0.0831,-0.0825,0.1524,0.2984
0.0739,-0.0907,0.1458,0.2932
0.0750,-0.0907,0.1534,0.2960
0.0738,-0.0876,0.1534,0.2970
0.0803,-0.0920,0.1534,0.3024
0.0795,-0.0911,0.1534,0.3029
0.0795,-0.0703,0.1561,0.3055
0.0789,-0.0743,0.1561,0.3040
0.0751,-0.0743,0.1656,0.3070
0.0648,-0.0743,0.1758,0.3121
0.0618,-0.0743,0.1778,0.3096
0.0630,-0.0757,0.1778,0.3073
0.0649,-0.0757,0.1755,0.3034
0.0854,-0.0731,0.1755,0.3060
0.0834,-0.0864,0.1656,0.3011
0.0739,-0.0949,0.1588,0.2958
0.0749,-0.0949,0.1654,0.2983
0.0735,-0.0915,0.1654,0.2993
0.0800,-0.0958,0.1654,0.3047
0.0791,-0.0949,0.1654,0.3052
0.0791,-0.0728,0.1682,0.3080
0.0785,-0.0767,0.1682,0.3065
0.0752,-0.0767,0.1763,0.3091
0.0654,-0.0767,0.1861,0.3139
0.0625,-0.0767,0.1881,0.3115
0.0637,-0.0781,0.1881,0.3092
0.0656,-0.0781,0.1857,0.3053
0.0857,-0.0756,0.1857,0.3078
0.0837,-0.0893,0.1755,0.3027
0.0740,-0.0979,0.1685,0.2973
0.0749,-0.0979,0.1744,0.2995
0.0734,-0.0942,0.1744,0.3006
0.0798,-0.0985,0.1744,0.3060
0.0788,-0.0975,0.1744,0.3065
0.0788,-0.0746,0.1773,0.3094
0.0782,-0.0784,0.1773,0.3080
0.0754,-0.0784,0.1844,0.3102
0.0659,-0.0784,0.1939,0.3149
0.0631,-0.0784,0.1958,0.3125
0.0642,-0.0798,0.1958,0.3102
0.0662,-0.0798,0.1934,0.3063
0.0860,-0.0773,0.1934,0.3088
0.0839,-0.0914,0.1830,0.3035
0.0741,-0.1001,0.1759,0.2981
0.0749,-0.1001,0.1812,0.3001
0.0733,-0.0962,0.1812,0.3013
0.0797,-0.1005,0.1812,0.3066
0.0786,-0.0994,0.1812,0.3071
0.0786,-0.0760,0.1842,0.3101
0.0781,-0.0796,0.1842,0.3087
0.0755,-0.0796,0.1906,0.3107
0.0663,-0.0796,0.1998,0.3153
0.0635,-0.0796,0.2016,0.3130
0.0647,-0.0810,0.2016,0.3106
0.0667,-0.0810,0.1993,0.3066
0.0862,-0.0786,0.1993,0.3091
0.0841,-0.0929,0.1887,0.3038
0.0742,-0.1017,0.1815,0.2983
0.0749,-0.1017,0.1864,0.3001
0.0733,-0.0976,0.1864,0.3014
0.0797,-0.1019,0.1864,0.3067
0.0785,-0.1008,0.1864,0.3073
0.0785,-0.0769,0.1894,0.3103
0.0780,-0.0805,0.1894,0.3089
0.0757,-0.0805,0.1953,0.3108
0.0667,-0.0805,0.2043,0.3153
0.0639,-0.0805,0.2061,0.3129
0.0650,-0.0819,0.2061,0.3106
0.0670,-0.0819,0.2037,0.3066
0.0865,-0.0794,0.2037,0.3090
0.0843,-0.0939,0.1930,0.3037
0.0743,-0.1028,0.1857,0.2981
0.0750,-0.1028,0.1903,0.2998
0.0733,-0.0986,0.1903,0.3011
0.0797,-0.1029,0.1903,0.3064
0.0785,-0.1017,0.1903,0.3070
0.0785,-0.0775,0.1934,0.3101
0.0780,-0.0811,0.1934,0.3088
0.0758,-0.0811,0.1988,0.3105
0.0669,-0.0811,0.2077,0.3149
0.0642,-0.0811,0.2095,0.3126
0.0653,-0.0825,0.2095,0.3103
0.0674,-0.0825,0.2071,0.3062
0.0866,-0.0800,0.2071,0.3087
0.0845,-0.0947,0.1963,0.3033
0.0744,-0.1036,0.1890,0.2977
0.0751,-0.1036,0.1934,0.2993
0.0733,-0.0993,0.1934,0.3006
0.0797,-0.1036,0.1934,0.3060
0.0785,-0.1024,0.1934,0.3066
0.0785,-0.0780,0.1965,0.3096
0.0780,-0.0815,0.1965,0.3083
0.0759,-0.0815,0.2016,0.3099
