0.0741,-0.2881,0.2015,0.4396,1245.3098121413843
1.8671,-0.4509,4.3756,2.5993,780.867354226971
2.7265,-0.8561,7.5755,4.2183,521.3001638260614
3.1384,-1.3475,10.0246,5.4739,368.23570092862155
3.3344,-1.8443,11.8966,6.4763,275.35334332783776
3.4253,-2.3071,13.3250,7.2973,217.95371882589043
3.4641,-2.7198,14.4122,7.9846,181.93457970471263
3.4763,-3.0784,15.2366,8.5714,158.95918326992881
3.4744,-3.3853,15.8580,9.0814,144.00944593548465
3.4646,-3.6457,16.3227,9.5315,134.0340531430526
3.4503,-3.8657,16.6661,9.9343,127.165650880356
3.4330,-4.0514,16.9158,10.2993,122.25608839948362
3.4140,-4.2086,17.0928,10.6336,118.59660302573302
3.3937,-4.3422,17.2136,10.9427,115.74793007433387
3.3728,-4.4563,17.2911,11.2308,113.43659322396248
3.3514,-4.5547,17.3351,11.5011,111.49135932378132
3.3299,-4.6402,17.3534,11.7563,109.80419795639511
3.3083,-4.7151,17.3521,11.9984,108.30624625198784
3.2869,-4.7815,17.3358,12.2290,106.95298605388491
3.2657,-4.8409,17.3083,12.4494,105.71508795122311
3.2448,-4.8945,17.2724,12.6606,104.57274654113608
3.2243,-4.9433,17.2302,12.8636,103.5121693166286
3.2042,-4.9882,17.1837,13.0589,102.52339561334007
3.1845,-5.0298,17.1340,13.2472,101.59893795527626
3.1653,-5.0686,17.0823,13.4290,100.73293256087811
3.1465,-5.1051,17.0293,13.6046,99.92060555711639
3.1282,-5.1395,16.9758,13.7745,99.1579353178017
3.1104,-5.1721,16.9221,13.9389,98.44143693011878
3.0931,-5.2032,16.8687,14.0980,97.76802294843883
3.0762,-5.2329,16.8158,14.2522,97.13491199604871
3.0598,-5.2613,16.7636,14.4017,96.5395675396072
3.0439,-5.2887,16.7123,14.5465,95.97965582599961
3.0284,-5.3149,16.6620,14.6870,95.45301610280337
3.0134,-5.3403,16.6128,14.8232,94.9576388084657
2.9987,-5.3647,16.5647,14.9554,94.49164901353903
2.9845,-5.3883,16.5177,15.0836,94.05329338883736
2.9708,-5.4112,16.4720,15.2079,93.64092959824909
2.9574,-5.4333,16.4275,15.3286,93.25301740429393
2.9444,-5.4547,16.3841,15.4457,92.88811102073866
2.9318,-5.4754,16.3419,15.5593,92.54485240285591
2.9195,-5.4955,16.3009,15.6696,92.22196526585931
